num_snp	ispleiotropy	set	envir	pop	seed
10000	pleio	71	cons	p10	5420
10000	pleio	72	fluc	p1	5421
10000	pleio	72	fluc	p2	5422
10000	pleio	72	fluc	p3	5423
10000	pleio	72	fluc	p4	5424
10000	pleio	72	fluc	p5	5425
10000	pleio	72	cons	p6	5426
10000	pleio	72	cons	p7	5427
10000	pleio	72	cons	p8	5428
10000	pleio	72	cons	p9	5429
10000	pleio	72	cons	p10	5430
10000	pleio	73	fluc	p1	5431
10000	pleio	73	fluc	p2	5432
10000	pleio	73	fluc	p3	5433
10000	pleio	73	fluc	p4	5434
10000	pleio	73	fluc	p5	5435
10000	pleio	73	cons	p6	5436
10000	pleio	73	cons	p7	5437
10000	pleio	73	cons	p8	5438
10000	pleio	73	cons	p9	5439
10000	pleio	73	cons	p10	5440
10000	pleio	74	fluc	p1	5441
10000	pleio	74	fluc	p2	5442
10000	pleio	74	fluc	p3	5443
10000	pleio	74	fluc	p4	5444
10000	pleio	74	fluc	p5	5445
10000	pleio	74	cons	p6	5446
10000	pleio	74	cons	p7	5447
10000	pleio	74	cons	p8	5448
10000	pleio	74	cons	p9	5449
10000	pleio	74	cons	p10	5450
10000	pleio	75	fluc	p1	5451
10000	pleio	75	fluc	p2	5452
10000	pleio	75	fluc	p3	5453
10000	pleio	75	fluc	p4	5454
10000	pleio	75	fluc	p5	5455
10000	pleio	75	cons	p6	5456
10000	pleio	75	cons	p7	5457
10000	pleio	75	cons	p8	5458
10000	pleio	75	cons	p9	5459
10000	pleio	75	cons	p10	5460
10000	pleio	76	fluc	p1	5461
10000	pleio	76	fluc	p2	5462
